PortName,AlternateName,Country,WaterBody,HarborSize,HarborType,HarborUse,Railway,Latitude,Longitude
Malai, ,Fiji,South Pacific Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,-16.35,179.366667
Savusavu Bay,Nakama,Fiji,South Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,-16.766667,179.333333
Tornio,Torina,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Small,River (Natural),Unknown,Small,65.766667,24.166667
Kemi, ,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Small,65.733333,24.566667
Oulu,Uleaborg,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Large,River (Natural),Unknown,Medium,65.016667,25.4
Raahe,Brahestad,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Large,64.683333,24.416667
Veitsiluoto, ,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Small,65.7,24.616667
Jakobstad,Yakobstad,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Medium,Coastal (Natural),Unknown,Small,63.683333,22.666667
Kantlax, ,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,63.416667,22.283333
Vaasa,Vasa,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Medium,Coastal (Natural),Unknown,Small,63.1,21.583333
Kaskinen,Kaskinen,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Medium,Coastal (Natural),Unknown,Small,62.383333,21.233333
Kristinestad,Kristiinankaupunki,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Medium,Coastal (Natural),Unknown,Small,62.283333,21.4
Pori, ,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Large,Coastal (Natural),Unknown,Medium,61.483333,21.8
Mantyluoto, ,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Medium,Coastal (Breakwater),Unknown,Medium,61.6,21.483333
Tahkoluoto, ,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Medium,61.633333,21.4
Rauma, ,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Medium,Coastal (Breakwater),Unknown,Medium,61.133333,21.5
Uusikaupunki,Nystad,Finland,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Small,60.8,21.4
Naantali, ,Finland,Baltic Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Small,60.466667,22.016667
Turku, ,Finland,Baltic Sea; North Atlantic Ocean,Medium,River (Basins),Unknown,Small,60.45,22.233333
